Subject,Predicate,Object
Vinland_Saga_Anime,rdf:type,jvmg:Anime
Vinland_Saga_Anime,rdf:type,aclick:Anime
Vinland_Saga_Anime,rdf:type,https://w3id.org/vinLOD-saga/class/Anime
Vinland_Saga_Anime,jvmg:titleTranslated,"Vinland Saga"
Vinland_Saga_Anime,rdf:type,frbroo:F22
Vinland_Saga_Anime,vinLOD:hasAnimationStudio,https://w3id.org/vinLOD-saga/organisation/Wit_Studio
Vinland_Saga_Anime,vinLOD:hasAnimationStudio,https://w3id.org/vinLOD-saga/organisation/MAPPA_Studio
Vinland_Saga_Anime,aclick:seasons,"Summer 2019"
Vinland_Saga_Anime,vinLOD:hasOpening,https://w3id.org/vinLOD-saga/item/Mukanjyo_Video
Vinland_Saga_Anime,rdfs:seeAlso,https://anidb.net/anime/13945
Vinland_Saga_Anime,aclick:statusInHomeCountry,"Finished Airing"
Vinland_Saga_Anime,jvmg:titleOriginal,"ヴィンランド・サガ"
